,counts,words
1427,9794,loud
1428,9794,posted
1429,9789,decided
1430,9774,officer
1431,9770,islands
1432,9763,crown
1433,9754,upper
1434,9751,july
1435,9745,bent
1436,9737,hearing
1437,9737,dollars
1438,9732,fruit
1439,9711,direct
1440,9710,obtained
1441,9698,method
1442,9691,brain
1443,9680,remembered
1444,9679,motion
1445,9675,bold
1446,9671,engaged
1447,9670,prevent
1448,9665,conditions
1449,9659,coast
1450,9631,feelings
1451,9630,excellent
1452,9616,civil
1453,9615,fashion
1454,9614,opening
1455,9613,extent
1456,9605,professor
1457,9602,ere
1458,9601,education
1459,9592,weather
1460,9592,evidence
1461,9581,midst
1462,9580,orders
1463,9570,empire
1464,9566,established
1465,9561,speed
1466,9551,practice
1467,9545,sorrow
1468,9540,skin
1469,9535,shown
1470,9526,played
1471,9520,described
1472,9517,choose
1473,9517,explanation
1474,9515,unknown
1475,9507,cities
1476,9506,instance
1477,9504,explained
1478,9499,quarter
1479,9494,paul
1480,9487,occupied
1481,9479,thrown
1482,9478,throughout
1483,9466,surprised
1484,9465,touched
1485,9461,waters
1486,9458,dressed
1487,9449,milton
1488,9448,bill
1489,9429,shape
1490,9415,dust
1491,9413,anxious
1492,9412,welcome
1493,9409,hills
1494,9380,replacement
1495,9376,distant
1496,9374,police
1497,9372,won't
1498,9371,drive
1499,9356,created
1500,9352,interesting
1501,9350,destroy
1502,9345,moving
1503,9337,er
1504,9329,guess
1505,9328,delight
1506,9328,obliged
1507,9325,settled
1508,9313,forces
1509,9311,officers
1510,9303,james
1511,9300,maid
1512,9298,nose
1513,9296,slow
1514,9295,gathered
1515,9281,moral
1516,9270,carefully
1517,9268,windows
1518,9267,distributed
1519,9267,loose
1520,9266,companion
1521,9263,flight
1522,9241,claim
1523,9238,michael
1524,9236,blind
1525,9232,international
1526,9225,richard
1527,9225,greek
1528,9222,worked
1529,9222,greatly
1530,9221,material
1531,9219,rode
1532,9215,salt
1533,9206,applied
1534,9191,points
1535,9189,telling
1536,9181,soldier
1537,9179,stones
1538,9177,throw
1539,9175,terror
1540,9167,western
1541,9156,wealth
1542,9151,tired
1543,9143,peculiar
1544,9142,vessel
1545,9126,habit
1546,9118,parties
1547,9111,term
1548,9109,bodies
1549,9098,si
1550,9095,car
1551,9094,compliance
1552,9084,lifted
1553,9076,results
1554,9058,evidently
1555,9054,finding
1556,9049,express
1557,9049,intended
1558,9047,hurt
1559,9044,crime
1560,9040,altogether
1561,9036,whispered
1562,9033,weeks
1563,9019,slight
1564,9016,remarked
1565,9013,promised
1566,9005,mentioned
1567,8953,importance
1568,8940,everybody
1569,8940,burst
1570,8931,price
1571,8925,immediate
1572,8920,principal
1573,8918,powerful
1574,8906,plant
1575,8898,events
1576,8898,bridge
1577,8894,quietly
1578,8892,you're
1579,8876,accept
1580,8876,swift
1581,8874,highest
1582,8867,based
1583,8866,truly
1584,8816,tea
1585,8812,included
1586,8798,report
1587,8797,capable
1588,8784,putting
1589,8781,served
1590,8774,taught
1591,8770,doors
1592,8770,bearing
1593,8767,pounds
1594,8765,computer
1595,8760,woods
1596,8755,oe
1597,8748,member
1598,8744,wore
1599,8743,bore
1600,8736,catch
1601,8735,bare
1602,8731,temple
1603,8729,strike
1604,8729,grief
1605,8727,pair
1606,8727,majesty
1607,8726,approach
1608,8726,watching
1609,8724,attack
1610,8721,naturally
1611,8718,praise
1612,8706,papers
1613,8691,di
1614,8687,file
1615,8686,production
1616,8685,damages
1617,8681,dangerous
1618,8676,imagine
1619,8671,listened
1620,8671,daily
1621,8663,regarded
1622,8659,http
1623,8648,leading
1624,8646,ly
1625,8631,cattle
1626,8628,facts
1627,8619,troops
1628,8615,site
1629,8608,anne
1630,8608,containing
1631,8607,etext
1632,8601,freedom
1633,8597,distinguished
1634,8596,cap
1635,8595,located
1636,8589,ride
1637,8584,ordered
1638,8581,article
1639,8577,huge
1640,8568,rough
1641,8554,storm
1642,8549,breakfast
1643,8541,clock
1644,8535,major
1645,8526,goods
1646,8525,satisfied
1647,8516,circle
1648,8515,advanced
1649,8513,content
1650,8507,iv
1651,8501,saved
1652,8498,flower
1653,8491,laughing
1654,8487,presented
1655,8486,portion
1656,8486,formerly
1657,8484,amount
1658,8483,level
1659,8474,bow
1660,8473,remarkable
1661,8466,june
1662,8459,famous
1663,8448,noticed
1664,8448,angel
1665,8438,clean
1666,8434,jack
1667,8432,failed
1668,8431,contrary
1669,8424,cruel
1670,8409,happen
1671,8405,request
1672,8404,nice
1673,8397,star
1674,8395,handsome
1675,8394,lest
1676,8389,sacred
1677,8388,explain
1678,8381,seized
1679,8377,popular
1680,8372,burning
1681,8371,buy
1682,8368,falling
1683,8365,wings
1684,8358,meat
