,words,counts
971,contact,155614.0
972,web,155452.0
973,meant,155417.0
974,afternoon,155238.0
975,sich,155140.0
976,bit,154988.0
977,silent,154799.0
978,opportunity,154731.0
979,step,154631.0
980,sit,154112.0
981,observed,153893.0
982,century,153829.0
983,goes,153638.0
984,mere,153557.0
985,speaking,153339.0
986,comply,153131.0
987,winter,152708.0
988,possession,152324.0
989,special,152287.0
990,author,152212.0
991,duke,152156.0
992,class,151945.0
993,shot,151767.0
994,considered,151741.0
995,sudden,151667.0
996,reach,151641.0
997,keeping,151316.0
998,formed,151094.0
999,jack,151089.0
1000,dog,150956.0
1001,conversation,150946.0
1002,ways,150709.0
1003,fifty,150637.0
1004,distributed,150629.0
1005,original,150478.0
1006,floor,150278.0
1007,collection,150266.0
1008,su,150246.0
1009,indian,150007.0
1010,private,149830.0
1011,finally,149729.0
1012,cry,149473.0
1013,fortune,149320.0
1014,dem,149303.0
1015,broke,148660.0
1016,freely,148630.0
1017,shore,148377.0
1018,picture,148248.0
1019,lake,148242.0
1020,greatest,148073.0
1021,allowed,147306.0
1022,plan,147248.0
1023,judge,147226.0
1024,america,146949.0
1025,value,146891.0
1026,stop,146757.0
1027,soldiers,146433.0
1028,eat,145848.0
1029,las,145754.0
1030,lot,145630.0
1031,proper,145409.0
1032,study,145266.0
1033,meeting,145093.0
1034,glass,144857.0
1035,marriage,144818.0
1036,terrible,144656.0
1037,trying,144655.0
1038,nation,144632.0
1039,vain,144551.0
1040,enter,144399.0
1041,fort,144398.0
1042,official,143945.0
1043,leaves,143944.0
1044,killed,143889.0
1045,bank,143801.0
1046,reply,143784.0
1047,obtain,143688.0
1048,flowers,143431.0
1049,speech,143387.0
1050,posted,143351.0
1051,declared,143343.0
1052,turning,143144.0
1053,james,142730.0
1054,takes,142676.0
1055,grave,142586.0
1056,required,142583.0
1057,difficult,142352.0
1058,escape,142215.0
1059,straight,141959.0
1060,marked,141589.0
1061,wished,141242.0
1062,minute,141229.0
1063,situation,141216.0
1064,troops,141068.0
1065,soft,141068.0
1066,drawn,140861.0
1067,lie,140524.0
1068,passage,140352.0
1069,saint,140189.0
1070,pain,140104.0
1071,corner,139826.0
1072,journey,139804.0
1073,om,139745.0
